Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Moeda,Valor,V_m2,cep,latitude,longitude,Point,setor_censo
avenida itacira,Planalto Paulista,São Paulo,1000,4,8,6,R$,7000000.0,7000.0,11443160.0,-23.975993,-46.2013172,POINT (-46.2013172 -23.975993),
rua aurelia perez alvarez,Jardim dos Estados,São Paulo,496,4,4,4,R$,3700000.0,7459.677419354839,4642020.0,-23.6409612,-46.6883114,POINT (-46.6883114 -23.6409612),355030871000023
rua alba valdez,Jardim Reimberg,São Paulo,125,4,3,2,R$,380000.0,3040.0,4845200.0,-23.75299,-46.6958895,POINT (-46.6958895 -23.75299),355030830000050
rua tobias barreto,Mooca,São Paulo,100,3,2,2,R$,540000.0,5400.0,13474663.0,-22.6989009,-47.2944609,POINT (-47.2944609 -22.6989009),
rua graham bell,Santo Amaro,São Paulo,440,4,4,6,R$,1980000.0,4500.0,4737030.0,-23.5937964,-46.7600773,POINT (-46.7600773 -23.5937964),355030865000169
rua francisco paulo,Cidade Mãe do Céu,São Paulo,145,4,4,2,R$,850000.0,5862.068965517241,3306050.0,-23.5222541,-46.5164525,POINT (-46.5164525 -23.5222541),355030859000013
rua guilherme valente,Jardim Vergueiro,São Paulo,150,2,2,2,R$,450000.0,3000.0,5818280.0,-23.6647336,-46.7339399,POINT (-46.7339399 -23.6647336),355030846000047
rua sagrada família,Jardim Benfica,São Paulo,48,2,1,1,R$,199900.0,4164.583333333333,8140520.0,-23.5875122,-46.6115287,POINT (-46.6115287 -23.5875122),355030834000022
rua tapaji,Vila Alpina,São Paulo,114,3,3,2,R$,585000.0,5131.578947368421,3207050.0,-23.6004694,-46.5615172,POINT (-46.5615172 -23.6004694),355030893000075
rua vigário joão álvares,Vila Monumento,São Paulo,261,4,4,3,R$,700000.0,2681.992337164751,1551040.0,-23.5757239,-46.6119322,POINT (-46.6119322 -23.5757239),355030834000071
rua tuim,Vila Uberabinha,São Paulo,193,3,3,2,R$,2500000.0,12953.36787564767,13903401.0,-22.7092778,-46.7724671,POINT (-46.7724671 -22.7092778),
rua antônio pereira mendes,Jardim Prudência,São Paulo,251,3,5,4,R$,1700000.0,6772.908366533865,4648235.0,-23.654041,-46.6761882,POINT (-46.6761882 -23.654041),355030822000233
rua joão antunes carvalho,Lauzane Paulista,São Paulo,300,4,5,4,R$,1150000.0,3833.3333333333335,2435100.0,-23.481381,-46.6421852,POINT (-46.6421852 -23.481381),355030851000041
rua timbé,Jardim Santa Maria,São Paulo,135,3,3,2,R$,550000.0,4074.074074074074,3576070.0,-23.5499099,-46.5079254,POINT (-46.5079254 -23.5499099),355030891000037
rua joão tauler,Vila Nova,São Paulo,180,4,2,4,R$,420000.0,2333.3333333333335,3288050.0,-23.592866,-46.5313273,POINT (-46.5313273 -23.592866),355030876000281
rua alice garcia vega,Itaberaba,São Paulo,300,3,5,4,R$,2232000.0,7440.0,2737050.0,-23.4878801,-46.6896604,POINT (-46.6896604 -23.4878801),355030829000035
rua graham bell,Santo Amaro,São Paulo,772,7,7,6,R$,2700000.0,3497.4093264248704,4737030.0,-23.5937964,-46.7600773,POINT (-46.7600773 -23.5937964),355030865000169
avenida antônio joaquim de moura andrade,Vila Nova Conceição,São Paulo,605,3,3,4,R$,4190000.0,6925.619834710744,4507000.0,-23.5857748,-46.6673831,POINT (-46.6673831 -23.5857748),355030832000034
rua marcos fernandes,Jardim da Saúde,São Paulo,110,3,2,5,R$,860000.0,7818.181818181818,4149120.0,-23.618592,-46.6186559,POINT (-46.6186559 -23.618592),355030827000003
rua josé leão dos santos,Jardim Santo Antônio,São Paulo,250,4,4,4,R$,650000.0,2600.0,8032280.0,-23.5158179,-46.426801,POINT (-46.426801 -23.5158179),355030884000138
rua jaime pinto ferreira,Vila Mazzei,São Paulo,120,2,1,1,R$,490000.0,4083.3333333333335,2308150.0,-23.4715716,-46.601844,POINT (-46.601844 -23.4715716),355030882000081
rua aldo de azevedo,Vila Madalena,São Paulo,170,2,2,1,R$,1485000.0,8735.29411764706,5453030.0,-23.542917,-46.709165,POINT (-46.709165 -23.542917),355030802000006
rua antônio wey,Jardim Ivana,São Paulo,250,3,1,5,R$,650000.0,2600.0,5364110.0,-23.6130752,-46.5268805,POINT (-46.5268805 -23.6130752),355030872000176
rua joão francisco de moura,Vila Campo Grande,São Paulo,110,3,3,2,R$,550000.0,5000.0,4455170.0,-23.6808561,-46.6783139,POINT (-46.6783139 -23.6808561),355030816000016
rua serra de botucatu,Vila Gomes Cardim,São Paulo,120,3,2,2,R$,1100000.0,9166.666666666666,8581360.0,-23.458722,-46.3508225,POINT (-46.3508225 -23.458722),
rua andrade neves,Bela Aliança,São Paulo,502,4,6,4,R$,2985000.0,5946.215139442231,17515400.0,-22.206355,-49.9358848,POINT (-49.9358848 -22.206355),
